,Impact_0,Impact_1,Impact_2,Impact_3
Feature_0,0.001366163958732236,0.0004551676787420411,0.0009918385168588783,0.0018057919389269594
Feature_1,0.7663158167620281,0.0017859637754561674,0.003684486811874632,0.0030506261184718
Feature_2,0.668642552890692,0.0005464165177298419,0.0005703444160040649,0.0003171449886706035
Feature_3,1.2801733509007454,9.139543528934313e-05,0.00019669084084721343,0.0003102861991863937
Feature_4,0.00724709395465406,0.0002145600384917956,0.00045639817097199443,0.00036458721517360624
Feature_5,0.015481198190154788,0.0005077822247046892,0.0008065100028702866,0.0006592026492598269
Feature_6,0.0019628869786377456,0.00022106656015394855,0.00023468437106677342,0.0003528482224984364
Feature_7,0.0033229029040810374,0.0005767380649240427,0.000600636748155714,0.0019815234238004464
Feature_8,0.0,0.0,0.0,0.0
Feature_9,0.002806859436943987,0.0029831966860487833,0.005370141347692969,0.018194236949249765
Feature_10,0.0008018546719952057,9.934123298230846e-05,0.00030361799816726044,0.00031451116332632535
Feature_11,0.000132619914505705,9.952611224791629e-05,0.00013490290689638362,0.00011401837976908747
Feature_12,0.0,0.0,0.0,0.0
Feature_13,0.0,0.0,0.0,0.0
Feature_14,0.00310944249785563,0.0008471618913009182,0.0036307551435015963,0.0008695686482927623
Feature_15,0.0057974550640428665,0.0032686957851643774,0.00332561832779642,0.002706878878824326
Feature_16,0.002078787362530998,0.0008861793595599466,0.0024801435009976893,0.0018832130453582674
Feature_17,0.033386703785567726,0.01109517852453219,0.015420485022097164,0.00748924517891505
Feature_18,0.009394490607257989,0.004446530391230108,0.0029006991517550595,0.0022954841647947256
Feature_19,0.006772168062210182,0.0031490961960382704,0.007592111737975071,0.0012723972787430982
Feature_20,0.00549448824635469,0.00030910037206496324,0.0009669631609396934,0.00025691499985739383
Feature_21,0.0414214949383913,0.03570157301433622,0.06823973269709074,0.020804226446384966
Feature_22,0.012476498163703298,1.8966389804212458,1.9994882072314404,1.774701861336775
Feature_23,0.0009676534037724282,0.0012938984685539445,0.0015199798330703506,0.0007920069151552856
Feature_24,0.0003621795232028324,6.397459824590835e-05,3.4132915077744744e-05,5.370866413242359e-05
Feature_25,0.0007075204713163253,0.00015590276576269436,0.00022113038549944619,0.00014392152920785772
Feature_26,0.0012176289908033878,0.00036264166570422197,0.0002444824717641736,0.0002183908796777323
Feature_27,0.3052476627599,0.0002479633949064142,0.00020232965888667965,0.0001739414760832947
Feature_28,0.0048315020572644255,0.014664776306557981,0.07123287339894215,0.008385233157418005
Feature_29,0.009713320511849356,0.005111403154195271,0.0066218388202832325,0.004264396772169654
Feature_30,0.0003355115148478083,0.0003886217622388166,0.0016851697953432776,0.002969664577129494
Feature_31,0.026420887126512027,0.0045540142347461395,0.008933544213024081,0.004277087104295929
Feature_32,0.0008146152693890074,0.0009466973399157918,0.001556276100038212,0.0008412561940558061
Feature_33,0.0008650210864714625,0.00549003576284296,0.02126860802076872,0.004307771804221349
Feature_34,0.0012539322660966134,0.004354806300256753,0.02343279234095922,0.005070246160285563
Feature_35,0.00021710995224796247,0.0001133459528438463,0.00022887154162588575,0.00012297113107261336
Feature_36,0.0023899784983785087,0.0006260623216152728,0.0028068910699919347,0.0008428647812420587
Feature_37,0.002482735265291902,0.001452698003073849,0.005196152087993455,0.0013234717794638694
Feature_38,0.0017476745209951572,0.0022307155126500165,0.003137147105942073,0.0028362588832952064
