threshold,hidden,target,MRE,k
0.0,10,0,0.44491612419140086,52
0.0,10,1,0.453954850416628,52
0.0,10,2,0.7987326820335039,52
0.0,10,3,0.0010644865479283111,52
0.0,20,0,0.1207534421038139,52
0.0,20,1,0.1658161298069629,52
0.0,20,2,0.6122781994395561,52
0.0,20,3,0.003203323169956505,52
0.0,30,0,0.41999760721513707,52
0.0,30,1,0.10334274583672577,52
0.0,30,2,0.4525756583644428,52
0.0,30,3,0.004305437040893723,52
0.0,40,0,0.41483472104227603,52
0.0,40,1,0.15710334227036943,52
0.0,40,2,0.2855670221702761,52
0.0,40,3,0.004082624236123361,52
0.0,50,0,0.21103185267769403,52
0.0,50,1,0.3499491747327612,52
0.0,50,2,0.17358821583480238,52
0.0,50,3,0.003616569091354511,52
0.0,60,0,0.24802066625403313,52
0.0,60,1,0.1402116242588915,52
0.0,60,2,0.7966080418272303,52
0.0,60,3,0.0031850501082460714,52
0.0,70,0,0.21381025840437223,52
0.0,70,1,0.08733441223277566,52
0.0,70,2,2.0414985601795603,52
0.0,70,3,0.0031727935534006085,52
0.0,80,0,0.1800559739433928,52
0.0,80,1,0.09495066661808055,52
0.0,80,2,0.7714218950653033,52
0.0,80,3,0.0029187799687071963,52
0.0,90,0,0.19138173942893824,52
0.0,90,1,0.16706637582340136,52
0.0,90,2,0.30925606927601734,52
0.0,90,3,0.004648247383090521,52
0.0,100,0,0.15266935332250822,52
0.0,100,1,0.1876681212860556,52
0.0,100,2,0.3612548510965374,52
0.0,100,3,0.002120910856828608,52
0.0,110,0,0.18814725403609278,52
0.0,110,1,0.07991597345559409,52
0.0,110,2,0.8313934286852187,52
0.0,110,3,0.005221060132587047,52
0.0,120,0,0.12888546911027338,52
0.0,120,1,0.08676197460352897,52
0.0,120,2,0.31205932167270967,52
0.0,120,3,0.0018356671068832596,52
0.0,130,0,0.5307772685274976,52
0.0,130,1,0.1138755438256653,52
0.0,130,2,1.1312753515365574,52
0.0,130,3,0.0029164132569579415,52
0.0,140,0,0.43781808837766967,52
0.0,140,1,0.07788303419441443,52
0.0,140,2,0.8008664292383334,52
0.0,140,3,0.004192874025222635,52
0.0,150,0,0.34325820420186776,52
0.0,150,1,0.24468572939591463,52
0.0,150,2,0.4798541432263673,52
0.0,150,3,0.002130941672047121,52
0.0,160,0,0.14287629748907288,52
0.0,160,1,0.060026179973594884,52
0.0,160,2,0.6134586987464301,52
0.0,160,3,0.007916481355663115,52
0.0,170,0,0.2922465309124851,52
0.0,170,1,0.1631411079555656,52
0.0,170,2,0.4645918541728147,52
0.0,170,3,0.0034841172791899417,52
0.0,180,0,0.17901056394062853,52
0.0,180,1,0.10925418406338705,52
0.0,180,2,0.5146571763162321,52
0.0,180,3,0.004423657954090134,52
0.0,190,0,0.14849463073074426,52
0.0,190,1,0.09672222338474307,52
0.0,190,2,1.6431877175091931,52
0.0,190,3,0.007099623770995554,52
